className,displayName,sourceSide,sourceFaction,sourceSubcategory,broadCategory,sourceWeapons
vn_o_air_mig19_at,MiG-19 S (AT),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_nr30_v_01
vn_o_air_mig19_bmb,MiG-19 S (BMB),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_nr30_v_01
vn_o_air_mig19_cap,MiG-19 S (CAP),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_nr30_v_01
vn_o_air_mig19_cas,MiG-19 S (CAS),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_nr30_v_01
vn_o_air_mig19_gun,MiG-19 S (GUN),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_nr30_v_01
vn_o_air_mig19_hbmb,MiG-19 S (HBMB),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_nr30_v_01
vn_o_air_mig19_mr,MiG-19 S (MR),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_nr30_v_01
vn_o_air_mig21_at,MiG-21 PFM (AT),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_o_air_mig21_atgm,MiG-21 PFM (ATGM),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_o_air_mig21_bmb,MiG-21 PFM (BMB),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_o_air_mig21_cap,MiG-21 PFM (CAP),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_o_air_mig21_cas,MiG-21 PFM (CAS),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_o_air_mig21_gun,MiG-21 PFM (GUN),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_o_air_mig21_hbmb,MiG-21 PFM (HBMB),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_o_air_mig21_hcas,MiG-21 PFM (HCAS),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_o_air_mig21_mr,MiG-21 PFM (MR),EAST,PAVN,Planes (VPAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_o_bicycle_01,Bicycle,EAST,PAVN,Cars (PAVN 68),GROUND,vn_bicycle_bell
vn_o_bicycle_01_nva65,Bicycle,EAST,PAVN,Cars (PAVN 65),GROUND,vn_bicycle_bell
vn_o_bicycle_01_nvam,Bicycle,EAST,PAVN,Cars (VPN Marines),GROUND,vn_bicycle_bell
vn_o_bicycle_01_pl,Bicycle,EAST,Pathet Lao,Cars (Army),GROUND,vn_bicycle_bell
vn_o_bicycle_01_vcmf,Bicycle,EAST,Viet Cong,Cars (VC),GROUND,vn_bicycle_bell
vn_o_bicycle_02,Bicycle Mule,EAST,PAVN,Cars (PAVN 68),GROUND,vn_bicycle_bell
vn_o_bicycle_02_nva65,Bicycle Mule,EAST,PAVN,Cars (PAVN 65),GROUND,vn_bicycle_bell
vn_o_bicycle_02_pl,Bicycle Mule,EAST,Pathet Lao,Cars (Army),GROUND,vn_bicycle_bell
vn_o_bicycle_02_vcmf,Bicycle Mule,EAST,Viet Cong,Cars (VC),GROUND,vn_bicycle_bell
vn_o_wheeled_btr40_02,BTR-40 Ambulance,EAST,PAVN,Cars (PAVN 68),GROUND,CarHorn
vn_o_wheeled_btr40_02_kr,BTR-40 Ambulance,EAST,Khmer Rouge,Cars (Army),GROUND,CarHorn
vn_o_wheeled_btr40_02_nva65,BTR-40 Ambulance,EAST,PAVN,Cars (PAVN 65),GROUND,CarHorn
vn_o_wheeled_btr40_02_nvam,BTR-40 Ambulance,EAST,PAVN,Cars (VPN Marines),GROUND,CarHorn
vn_o_wheeled_btr40_02_pl,BTR-40 Ambulance,EAST,Pathet Lao,Cars (Army),GROUND,CarHorn
vn_o_wheeled_btr40_02_vcmf,BTR-40 Ambulance,EAST,Viet Cong,Cars (VC),GROUND,CarHorn
vn_o_wheeled_btr40_01,BTR-40 Transport,EAST,PAVN,Cars (PAVN 68),GROUND,CarHorn
vn_o_wheeled_btr40_01_kr,BTR-40 Transport,EAST,Khmer Rouge,Cars (Army),GROUND,CarHorn
vn_o_wheeled_btr40_01_nva65,BTR-40 Transport,EAST,PAVN,Cars (PAVN 65),GROUND,CarHorn
vn_o_wheeled_btr40_01_nvam,BTR-40 Transport,EAST,PAVN,Cars (VPN Marines),GROUND,CarHorn
vn_o_wheeled_btr40_01_pl,BTR-40 Transport,EAST,Pathet Lao,Cars (Army),GROUND,CarHorn
vn_o_wheeled_btr40_01_vcmf,BTR-40 Transport,EAST,Viet Cong,Cars (VC),GROUND,CarHorn
vn_o_car_01_01,Car (Boheme Bonn),EAST,Viet Cong,Cars (VC),GROUND,vn_CivCarHorn1
vn_o_car_01_01_kr,Car (Boheme Bonn),EAST,Khmer Rouge,Cars (Army),GROUND,vn_CivCarHorn1
vn_o_car_03_01,Car (Boheme Kupe),EAST,Viet Cong,Cars (VC),GROUND,vn_CivCarHorn3
vn_o_car_03_01_kr,Car (Boheme Kupe),EAST,Khmer Rouge,Cars (Army),GROUND,vn_CivCarHorn3
vn_o_car_02_01,Car (Boheme Rodina),EAST,Viet Cong,Cars (VC),GROUND,vn_CivCarHorn2
vn_o_car_02_01_kr,Car (Boheme Rodina),EAST,Khmer Rouge,Cars (Army),GROUND,vn_CivCarHorn2
vn_o_car_04_01,Van (Boheme Krabice),EAST,Viet Cong,Cars (VC),GROUND,vn_CivVanHorn1
vn_o_car_04_01_kr,Van (Boheme Krabice),EAST,Khmer Rouge,Cars (Army),GROUND,vn_CivVanHorn1
vn_o_wheeled_z157_04,Z-157 (PR-11AM Transporter/ S-75),EAST,PAVN,Cars (PAVN 68),GROUND,TruckHorn3
vn_o_wheeled_z157_04_nva65,Z-157 (PR-11AM Transporter/ S-75),EAST,PAVN,Cars (PAVN 65),GROUND,TruckHorn3
vn_o_wheeled_z157_04_nvam,Z-157 (PR-11AM Transporter/ S-75),EAST,PAVN,Cars (VPN Marines),GROUND,TruckHorn3
vn_o_wheeled_z157_04_vcmf,Z-157 (PR-11AM Transporter/ S-75),EAST,Viet Cong,Cars (VC),GROUND,TruckHorn3
vn_o_wheeled_z157_03,Z-157 (Radar Carrier),EAST,PAVN,Cars (PAVN 68),GROUND,TruckHorn3
vn_o_wheeled_z157_03_nva65,Z-157 (Radar Carrier),EAST,PAVN,Cars (PAVN 65),GROUND,TruckHorn3
