Asset,Type,ProgressionRequired,Families,UsedByCount,UsedBy,RelatedWeapons,Reason
vn_20mm_dgn_wp_mag,Magazine,YES,kbkg,1,vn_kbkg_gl,,additional compatible magazine
vn_20mm_f1n60_frag_mag,Magazine,YES,kbkg,1,vn_kbkg_gl,,additional compatible magazine
vn_20mm_kgn_frag_mag,Magazine,YES,kbkg,1,vn_kbkg_gl,,additional compatible magazine
vn_20mm_pgn60_heat_mag,Magazine,YES,kbkg,1,vn_kbkg_gl,,additional compatible magazine
vn_22mm_cs_mag,Magazine,YES,m1903;m1_garand;m1carbine;m2carbine;m4956;sks,6,vn_m1903_gl;vn_m1_garand_gl;vn_m1carbine_gl;vn_m2carbine_gl;vn_m4956_gl;vn_sks_gl,,additional compatible magazine
vn_22mm_he_mag,Magazine,YES,m4956,1,vn_m4956_gl,,additional compatible magazine
vn_22mm_lume_mag,Magazine,YES,m1903;m1_garand;m1carbine;m2carbine;m4956;sks,6,vn_m1903_gl;vn_m1_garand_gl;vn_m1carbine_gl;vn_m2carbine_gl;vn_m4956_gl;vn_sks_gl,,additional compatible magazine
vn_22mm_m17_frag_mag,Magazine,YES,m1903;m1_garand;m1carbine;m2carbine,4,vn_m1903_gl;vn_m1_garand_gl;vn_m1carbine_gl;vn_m2carbine_gl,,additional compatible magazine
vn_22mm_m19_wp_mag,Magazine,YES,m1903;m1_garand;m1carbine;m2carbine;m4956;sks,6,vn_m1903_gl;vn_m1_garand_gl;vn_m1carbine_gl;vn_m2carbine_gl;vn_m4956_gl;vn_sks_gl,,additional compatible magazine
vn_22mm_m1a2_frag_mag,Magazine,YES,m1903;m1_garand;m1carbine;m2carbine,4,vn_m1903_gl;vn_m1_garand_gl;vn_m1carbine_gl;vn_m2carbine_gl,,additional compatible magazine
vn_22mm_m22_smoke_mag,Magazine,YES,m1903;m1_garand;m1carbine;m2carbine;m4956;sks,6,vn_m1903_gl;vn_m1_garand_gl;vn_m1carbine_gl;vn_m2carbine_gl;vn_m4956_gl;vn_sks_gl,,additional compatible magazine
vn_22mm_m60_frag_mag,Magazine,YES,sks,1,vn_sks_gl,,additional compatible magazine
vn_22mm_m60_heat_mag,Magazine,YES,sks,1,vn_sks_gl,,additional compatible magazine
vn_22mm_m61_frag_mag,Magazine,YES,l1a1,2,vn_l1a1_01_gl;vn_l1a1_02_gl,,additional compatible magazine
vn_22mm_m9_heat_mag,Magazine,YES,m1903;m1_garand;m1carbine;m2carbine;m4956,5,vn_m1903_gl;vn_m1_garand_gl;vn_m1carbine_gl;vn_m2carbine_gl;vn_m4956_gl,,additional compatible magazine
vn_22mm_n94_heat_mag,Magazine,YES,l1a1,2,vn_l1a1_01_gl;vn_l1a1_02_gl,,additional compatible magazine
vn_40mm_m381_he_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
vn_40mm_m397_ab_mag,Magazine,YES,l1a1;l34a1;m16;m79;xm16e1;xm177,13,vn_l1a1_xm148;vn_l1a1_xm148_camo;vn_l34a1_xm148;vn_m16_m203;vn_m16_m203_camo;vn_m16_xm148;vn_m79;vn_m79_p;vn_xm16e1_xm148;vn_xm177_m203;vn_xm177_m203_camo;vn_xm177_xm148;vn_xm177_xm148_camo,,additional compatible magazine
