WeaponClass,DisplayName,SourceAffiliations,UsedByCount,UsedBy
vn_ak_01,AK,EAST+INDEPENDENT,18,vn_i_men_fank_70_02;vn_i_men_fank_70_14;vn_i_men_fank_70_20;vn_i_men_fank_70_24;vn_o_men_kr_70_09;vn_o_men_kr_70_18;vn_o_men_kr_70_22;vn_o_men_kr_75_01;vn_o_men_kr_75_04;vn_o_men_kr_75_09;vn_o_men_kr_75_17;vn_o_men_kr_75_18;vn_o_men_kr_75_20;vn_o_men_kr_75_22;vn_o_men_kr_75_23;vn_o_men_nva_49;vn_o_men_nva_50;vn_o_men_pl_06
vn_dp28,DP-27,EAST+INDEPENDENT,6,vn_i_men_fank_70_11;vn_o_men_pl_25;vn_o_men_vc_local_11;vn_o_men_vc_local_25;vn_o_men_vc_local_32;vn_o_men_vc_regional_11
vn_fkb1_pm,PM (Flashlight),NONE,0,
vn_fkb1_pm_sd,PM (S/ Flashlight),NONE,0,
vn_gau5a,GAU-5A/A,NONE,0,
vn_gau5a_mrk,GAU-5A/A (SP Optic),NONE,0,
vn_hd,HD (S),NONE,0,
vn_hp_sd,HP (S),NONE,0,
vn_k98k,K98K,NONE,0,
vn_k98k_mrk_camo,K98K (Sniper/ camo),NONE,0,
vn_kbkg,KBKG,NONE,0,
vn_l1a1_02_camo,L1A1 (NZ/ Camo),NONE,0,
vn_l1a1_xm148,L1A1 (XM148),NONE,0,
vn_l2a3,L2A3,NONE,0,
vn_l2a3_f,L2A3 (Folded),NONE,0,
vn_l34a1_f,L34A1 (Folded),NONE,0,
vn_m10,Model 10,WEST+INDEPENDENT,56,vn_b_men_aircrew_09;vn_b_men_aircrew_10;vn_b_men_aircrew_35;vn_b_men_aircrew_36;vn_b_men_army_11;vn_b_men_army_13;vn_b_men_army_24;vn_b_men_army_25;vn_b_men_cidg_05;vn_b_men_cidg_15;vn_b_men_cidg_18;vn_b_men_jetpilot_01;vn_b_men_jetpilot_02;vn_b_men_jetpilot_03;vn_b_men_jetpilot_04;vn_b_men_jetpilot_05;vn_b_men_jetpilot_06;vn_b_men_jetpilot_07;vn_b_men_jetpilot_08;vn_b_men_jetpilot_11;vn_b_men_jetpilot_12;vn_b_men_rok_army_65_13;vn_b_men_rok_army_68_13;vn_b_men_rok_army_68_24;vn_b_men_rok_army_68_25;vn_b_men_rok_marine_65_13;vn_b_men_rok_marine_68_13;vn_b_men_seal_17;vn_b_men_seal_21;vn_b_men_seal_38;vn_b_men_seal_42;vn_b_men_seal_45;vn_b_men_seal_48;vn_b_men_sf_15;vn_b_men_sf_18;vn_b_men_usmc_66_11;vn_b_men_usmc_66_13;vn_b_men_usmc_66_24;vn_b_men_usmc_66_25;vn_b_men_usmc_68_11;vn_b_men_usmc_68_13;vn_b_men_usmc_68_24;vn_b_men_usmc_68_25;vn_b_men_usmc_70_11;vn_b_men_usmc_70_13;vn_b_men_usmc_70_24;vn_b_men_usmc_70_25;vn_i_men_army_13;vn_i_men_army_24;vn_i_men_army_25;vn_i_men_fank_71_13;vn_i_men_fank_71_24;vn_i_men_fank_71_25;vn_i_men_marine_13;vn_i_men_ranger_13;vn_i_men_rla_13
vn_m14_sd,M14 (S),NONE,0,
vn_m14a1,M14A1,NONE,0,
vn_m14a1_camo,M14A1 (Camo),NONE,0,
vn_m14a1_nvg,M14A1 (NV Optic),NONE,0,
