classname,displayName,category,reason
vn_b_pack_01_02_m14_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_02_m16_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_02_m60_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_02_m79_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_02_type56_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_eng_m1897_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_eng_m45_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_hp_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_m14_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_m45_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_m79_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_medic_mat49_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_medic_rpd_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_type56_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_01_xm177_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_02_m1918_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_02_m1_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_02_m2_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_02_m60_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_02_medic_xm177_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_02_rpd_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_02_xm177_eng_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_02_xm177_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_eng_xm177_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_m1897_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_m60_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_mat49_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_medic_m45_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_medic_xm177_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_rpd_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_sten_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_xm148_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_02_xm177_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_03_02_m14_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_03_02_m63a_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_03_02_type56_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_03_02_type64_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_03_02_xm177_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_03_m3a1_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_03_type56_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_03_xm177_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_04_02_l2a3_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_04_02_m16_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_04_02_m1_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_04_02_m2_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_04_02_m45_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_04_02_sten_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_05_02_eng_m14_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_05_02_eng_m16_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_05_02_eng_m1_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_05_02_eng_mat49_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_05_02_m1897_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_05_02_type64_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_01_m14_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_01_m16_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_01_m1918_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_01_m1_garand_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_01_m45_eng_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_01_m45_m72_eng_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_01_m60_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_01_medic_m16_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_01_type56_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m14_eng_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m14_m72_eng_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m14_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m16_eng_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m16_m72_eng_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m16_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m1897_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m1_garand_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m36_pl,,backpack,Preloaded/role backpack variant (_pl).
vn_b_pack_arvn_02_m40a1_pl,,backpack,Preloaded/role backpack variant (_pl).
